mondo_id	property	value_old	value_new
MONDO:0000462	label	eye adnexa disorder	eye adnexa disease
MONDO:0002022	label	disorder of orbital region	disease of orbital region
MONDO:0019721	label	obsolete syndromic renal or urinary tract malformation	syndromic renal or urinary tract malformation
MONDO:0015110	label	obsolete genetic cardiac rhythm disease	genetic cardiac rhythm disease
MONDO:0000469	label	sinoatrial node disorder	sinoatrial node disease
MONDO:0000470	label	endocardium disorder	endocardium disease
MONDO:0005267	label	heart disorder	heart disease
MONDO:0000471	label	tricuspid valve disorder	tricuspid valve disease
MONDO:0002869	label	heart valve disorder	heart valve disease
MONDO:0005385	label	vascular disorder	vascular disease
MONDO:0000474	label	pericardium disorder	pericardium disease
MONDO:0020120	label	skeletal muscle disorder	skeletal muscle disease
MONDO:0004382	label	laryngeal disorder	laryngeal disease
MONDO:0019722	label	glomerular disorder	glomerular disease
MONDO:0044967	label	obsolete limb disorder	limb disorder
MONDO:0002654	label	uterine disorder	uterine disease
MONDO:0016112	label	hereditary inclusion-body myopathy	inclusion myopathy
MONDO:0019708	label	obsolete primary bone dysplasia with disorganized development of skeletal components	primary bone dysplasia with disorganized development of skeletal components
MONDO:0000528	label	obsolete MONDO:0000528	
MONDO:0000529	label	obsolete MONDO:0000529	
MONDO:0003939	label	muscle tissue disorder	muscle tissue disease
MONDO:0000559	label	obsolete MONDO:0000559	
MONDO:0000561	label	obsolete spinocerebellar ataxia type 16	spinocerebellar ataxia type 16
MONDO:0000568	label	autoimmune disorder of central nervous system	autoimmune disease of central nervous system
MONDO:0002602	label	central nervous system disorder	central nervous system disease
MONDO:0002977	label	autoimmune disorder of the nervous system	autoimmune disease of the nervous system
MONDO:0000569	label	autoimmune disorder of endocrine system	autoimmune disease of endocrine system
MONDO:0005151	label	endocrine system disorder	endocrine system disease
MONDO:0000575	label	obsolete MONDO:0000575	
MONDO:0000586	label	autoimmune disorder of exocrine system	autoimmune disease of exocrine system
MONDO:0000588	label	autoimmune disorder of gastrointestinal tract	autoimmune disease of gastrointestinal tract
MONDO:0000589	label	autoimmune disorder of musculoskeletal system	autoimmune disease of musculoskeletal system
MONDO:0002081	label	musculoskeletal system disorder	musculoskeletal system disease
MONDO:0000590	label	autoimmune disorder of peripheral nervous system	autoimmune disease of peripheral nervous system
MONDO:0003620	label	peripheral nervous system disorder	peripheral nervous system disease
MONDO:0000601	label	obsolete autoimmune disorder of urogenital tract	autoimmune disease of urogenital tract
MONDO:0021145	label	obsolete disorder of genitourinary system	disease of genitourinary system
MONDO:0000602	label	autoimmune disorder of blood	autoimmune disease of blood
MONDO:0005570	label	hematologic disorder	hematologic disease
MONDO:0000603	label	autoimmune disorder of cardiovascular system	autoimmune disease of cardiovascular system
MONDO:0004995	label	cardiovascular disorder	cardiovascular disease
MONDO:0005046	label	immune system disorder	immune system disease
MONDO:0005240	label	kidney disorder	kidney disease
MONDO:0005833	label	lymphatic system disorder	lymphatic system disease
MONDO:0003150	label	male reproductive system disorder	male reproductive system disease
MONDO:0000651	label	obsolete thoracic disorder	thoracic disease
MONDO:0000688	label	inborn organic aciduria	inherited organic acidemia
MONDO:0015953	label	obsolete genetic central nervous system and retinal vascular disease	genetic central nervous system and retinal vascular disease
MONDO:0005328	label	eye disorder	eye disease
MONDO:0000942	label	corneal disorder	corneal disease
MONDO:0024255	label	obsolete genetic skin disease	genetic skin disease
MONDO:0004867	label	upper respiratory tract disorder	upper respiratory tract disease
MONDO:0006858	label	mouth disorder	mouth disease
MONDO:0005275	label	lung disorder	lung disease
MONDO:0024355	label	respiratory tract infectious disorder	respiratory tract infectious disease
MONDO:0002657	label	breast disorder	breast disease
MONDO:0006999	label	tooth disorder	tooth disease
MONDO:0002256	label	cervix disorder	cervix disease
MONDO:0001593	label	rectal disorder	rectal disease
MONDO:0002263	label	female reproductive system disorder	female reproductive system disease
MONDO:0000769	label	obsolete chicken egg allergy	chicken egg allergy
MONDO:0000770	label	obsolete shellfish allergy	shellfish allergy
MONDO:0000778	label	obsolete fruit allergy	fruit allergy
MONDO:0000781	label	obsolete cherry allergy	cherry allergy
MONDO:0000782	label	obsolete Indian plum allergy	Indian plum allergy
MONDO:0000783	label	obsolete orange allergy	orange allergy
MONDO:0000784	label	obsolete melon allergy	melon allergy
MONDO:0000817	label	obsolete MONDO:0000817	
MONDO:0000821	label	obsolete MONDO:0000821	
MONDO:0000823	label	obsolete MONDO:0000823	
MONDO:0005381	label	bone disorder	bone disease
MONDO:0000842	label	obsolete MONDO:0000842	
MONDO:0000843	label	obsolete MONDO:0000843	
MONDO:0003409	label	colonic disorder	colonic disease
MONDO:0018157	label	obsolete mitochondrial disorder due to a defect in mitochondrial protein synthesis	mitochondrial disorder due to a defect in mitochondrial protein synthesis
MONDO:0000866	label	hereditary myoglobinuria	myoglobinuria
MONDO:0005290	label	obsolete rhabdomyolysis	rhabdomyolysis
MONDO:0020010	label	infectious disorder of the nervous system	infectious disease of the nervous system
MONDO:0019524	label	Bartter syndrome type 4	infantile Bartter syndrome with sensorineural deafness
MONDO:0000912	label	autosomal recessive nonsyndromic hearing loss 5	autosomal recessive nonsyndromic deafness 5
MONDO:0019588	label	hearing loss, autosomal recessive	deafness, autosomal recessive
MONDO:0000915	label	obsolete MONDO:0000915	
MONDO:0000931	label	endometrial disorder	endometrial disease
MONDO:0000941	label	eyelid degenerative disorder	eyelid degenerative disease
MONDO:0003382	label	eyelid disorder	eyelid disease
MONDO:0004884	label	eye degenerative disorder	eye degenerative disease
MONDO:0004634	label	vein disorder	vein disease
MONDO:0001854	label	lacrimal apparatus disorder	lacrimal apparatus disease
MONDO:0003579	label	retinal nerve fiber layer disorder	retinal nerve fibre layer disorder
MONDO:0015512	label	obsolete genetic hypertension	genetic hypertension
MONDO:0004721	label	obsolete liver neoplasm	liver neoplasm
MONDO:0005561	label	aortic disorder	aortic disease
MONDO:0002037	label	pleural disorder	pleural disease
MONDO:0005281	label	gallbladder disorder	gallbladder disease
MONDO:0002409	label	auditory system disorder	auditory system disease
MONDO:0001006	label	glaucomatous atrophy of optic disk	glaucomatous atrophy of optic disc
MONDO:0044986	label	lymphoid system disorder	lymphoid system disease
MONDO:0004821	label	nasopharyngeal disorder	nasopharyngeal disease
MONDO:0003749	label	esophageal disorder	esophageal disease
MONDO:0005020	label	intestinal disorder	intestinal disease
MONDO:0002519	label	anus disorder	anus disease
MONDO:0002356	label	pancreas disorder	pancreas disease
MONDO:0021568	label	renal tubule disorder	renal tubule disease
MONDO:0024270	label	parasitic intestinal disorder	parasitic intestinal disease
MONDO:0045043	label	disorder of uterine broad ligament	disease of uterine broad ligament
MONDO:0004298	label	stomach disorder	stomach disease
MONDO:0002329	label	testicular disorder	testicular disease
MONDO:0001142	label	salivary gland disorder	salivary gland disease
MONDO:0007002	label	trochlear nerve disorder	trochlear nerve disease
MONDO:0001153	label	obsolete gender dysphoria	gender dysphoria
MONDO:0001165	label	tongue disorder	tongue disease
MONDO:0001174	label	conjunctival vascular disorder	conjunctival vascular disease
MONDO:0005552	label	ocular vascular disorder	ocular vascular disease
MONDO:0001176	label	lens disorder	lens disease
MONDO:0005283	label	retinal disorder	retinal disease
MONDO:0001201	label	obsolete MONDO:0001201	
MONDO:0003105	label	prostate disorder	prostate disease
MONDO:0002285	label	pupil disorder	pupil disease
MONDO:0003394	label	dental pulp disorder	dental pulp disease
MONDO:0001223	label	parathyroid gland disorder	parathyroid gland disease
MONDO:0003778	label	inborn error of immunity	primary immunodeficiency disease
MONDO:0024635	label	small intestine disorder	small intestine disease
MONDO:0004553	label	obsolete extrinsic allergic alveolitis	extrinsic allergic alveolitis
MONDO:0002311	label	retinal vascular disorder	retinal vascular disease
MONDO:0024610	label	parasitic skin disorder	parasitic skin disease
MONDO:0002021	label	gingival disorder	gingival disease
MONDO:0001269	label	scleral disorder	scleral disease
MONDO:0001898	label	optic choroid disorder	optic choroid disease
MONDO:0002156	label	fallopian tube disorder	fallopian tube disease
MONDO:0020591	label	obsolete disorder of peritoneum	disease of peritoneum
MONDO:0001292	label	autonomic nervous system disorder	autonomic nervous system disease
MONDO:0003767	label	mitral valve disorder	mitral valve disease
MONDO:0001306	label	obsolete recurrent corneal erosion	recurrent corneal erosion
MONDO:0003546	label	third cranial nerve disorder	third cranial nerve disease
MONDO:0001321	label	obsolete scleral staphyloma	scleral staphyloma
MONDO:0001571	label	gynecomastia disorder	gynecomastia
MONDO:0001324	label	obsolete hyperandrogenism	hyperandrogenism
MONDO:0002145	label	disorder of sexual differentiation	sex differentiation disease
MONDO:0002405	label	hepatic vascular disorder	hepatic vascular disease
MONDO:0003804	label	obsolete blood protein disease	blood protein disease
MONDO:0045044	label	ligament disorder	ligament disease
MONDO:0001358	label	bronchial disorder	bronchial disease
MONDO:0003276	label	middle ear disorder	middle ear disease
MONDO:0002332	label	splenic disorder	splenic disease
MONDO:0041154	label	disorder of neck of urinary bladder	disease of neck of urinary bladder
MONDO:0004860	label	vitreous disorder	vitreous disease
MONDO:0003584	label	visual cortex disorder	visual cortex disease
MONDO:0005010	label	coronary artery disorder	coronary artery disease
MONDO:0003543	label	trigeminal nerve disorder	trigeminal nerve disease
MONDO:0005495	label	adrenal gland disorder	adrenal gland disease
MONDO:0001424	label	obsolete sarcoid meningitis	sarcoid meningitis
MONDO:0001433	label	vaginal disorder	vaginal disease
MONDO:0003648	label	tympanic membrane disorder	tympanic membrane disease
MONDO:0006026	label	urinary bladder disorder	urinary bladder disease
MONDO:0056799	label	synovium disorder	synovium disease
MONDO:0045003	label	scrotal disorder	scrotal disease
MONDO:0001504	label	fetishistic disorder	fetishism
MONDO:0004866	label	eustachian tube disorder	eustachian tube disease
MONDO:0004184	label	urethral disorder	urethral disease
MONDO:0003182	label	anterior horn disorder	anterior horn disease
MONDO:0001524	label	obsolete globe disease	globe disease
MONDO:0003240	label	thyroid gland disorder	thyroid gland disease
MONDO:0001535	label	vagus nerve disorder	vagus nerve disease
MONDO:0002639	label	glossopharyngeal nerve disorder	glossopharyngeal nerve disease
MONDO:0043218	label	neurovascular disorder	neurovascular disease
MONDO:0001563	label	vestibulocochlear nerve disorder	vestibulocochlear nerve disease
MONDO:0001574	label	capillary disorder	capillary disease
MONDO:0001578	label	obsolete hernia of ovary and fallopian tube	hernia of ovary and fallopian tube
MONDO:0019706	label	obsolete lysosomal storage disease with skeletal involvement	lysosomal storage disease with skeletal involvement
MONDO:0020279	label	obsolete metabolic disease with corneal opacity	metabolic disease with corneal opacity
MONDO:0045004	label	skeletal ligament disorder	skeletal ligament disease
MONDO:0017646	label	obsolete neurodegenerative disease with chorea	neurodegenerative disease with chorea
MONDO:0001597	label	submandibular gland disorder	submandibular gland disease
MONDO:0001605	label	obsolete MONDO:0001605	
MONDO:0005269	label	carotid artery disorder	carotid artery disease
MONDO:0001659	label	obsolete MONDO:0001659	
MONDO:0001679	label	obsolete crater-like holes of optic disk	obsolete crater-like holes of optic disc
MONDO:0044990	label	obsolete hand disorder	hand disease
MONDO:0017028	label	obsolete secondary interstitial lung disease specific to adulthood associated with a systemic disease	secondary interstitial lung disease specific to adulthood associated with a systemic disease
MONDO:0002887	label	bile duct disorder	bile duct disease
MONDO:0005042	label	obsolete head disorder	head disease
MONDO:0005218	label	obsolete muscular disorder	muscular disease
MONDO:0001726	label	obsolete childhood disintegrative disease	childhood disintegrative disease
MONDO:0001735	label	paranasal sinus disorder	paranasal sinus disease
MONDO:0002135	label	optic nerve disorder	optic nerve disease
MONDO:0023369	label	disorder of facial skeleton	disease of facial skeleton
MONDO:0044984	label	nasolacrimal duct disorder	nasolacrimal duct disease
MONDO:0001933	label	endocrine pancreas disorder	endocrine pancreas disease
MONDO:0044989	label	obsolete foot disorder	foot disease
MONDO:0001810	label	hypoglossal nerve disorder	hypoglossal nerve disease
MONDO:0002098	label	facial nerve disorder	facial nerve disease
MONDO:0024432	label	nerve plexus disorder	nerve plexus disease
MONDO:0001834	label	visual pathway disorder	visual pathway disease
MONDO:0002118	label	urinary system disorder	urinary system disease
MONDO:0020594	label	abducens nerve disorder	abducens nerve disease
MONDO:0005558	label	ovarian disorder	ovarian disease
MONDO:0002467	label	inner ear disorder	inner ear disease
MONDO:0002661	label	uveal disorder	uveal disease
MONDO:0002336	label	obsolete inflammatory and toxic neuropathy	inflammatory and toxic neuropathy
MONDO:0002567	label	tracheal disorder	tracheal disease
MONDO:0001926	label	ureteral disorder	ureteral disease
MONDO:0003628	label	pulmonary valve disorder	pulmonary valve disease
MONDO:0017635	label	obsolete parkinsonian syndrome due to neurodegenerative disease	parkinsonian syndrome due to neurodegenerative disease
MONDO:0001946	label	obsolete hyperestrogenism	hyperestrogenism
MONDO:0002635	label	periodontal disorder	periodontal disease
MONDO:0044992	label	mouth mucosa disorder	mouth mucosa disease
MONDO:0002031	label	cecal disorder	cecal disease
MONDO:0002036	label	penile disorder	penile disease
MONDO:0004748	label	lip disorder	lip disease
MONDO:0024458	label	disorder of visual system	disease of visual system
MONDO:0002150	label	hypothalamic disorder	hypothalamic disease
MONDO:0003081	label	thalamic disorder	thalamic disease
MONDO:0015509	label	hereditary biliary tract disease	genetic biliary tract disease
MONDO:0002232	label	nasal cavity disorder	nasal cavity disease
MONDO:0021059	label	obsolete head or neck disorder/disorder	head or neck disease/disorder
MONDO:0024467	label	apocrine sweat gland disorder	apocrine sweat gland disease
MONDO:0002289	label	iris disorder	iris disease
MONDO:0021154	label	dermis disorder	dermis disease
MONDO:0020676	label	obsolete disorder of central nervous system or retinal vasculature	disease of central nervous system or retinal vasculature
MONDO:0003816	label	articular cartilage disorder	articular cartilage disease
MONDO:0006615	label	sweat gland disorder	sweat gland disease
MONDO:0002412	label	disorder of glycogen metabolism	glycogen storage disease
MONDO:0019589	label	obsolete syndromic genetic hearing loss	syndromic genetic hearing loss
MONDO:0002454	label	obsolete thyroid adenoma	thyroid adenoma
MONDO:0015218	label	obsolete syndromic developmental defect of the eye	syndromic developmental defect of the eye
MONDO:0018187	label	hereditary syndromic Pierre Robin syndrome	genetic syndromic Pierre Robin syndrome
MONDO:0018751	label	hereditary otorhinolaryngologic disease	genetic otorhinolaryngologic disease
MONDO:0020253	label	obsolete syndrome with a symptomatic strabismus	syndrome with a symptomatic strabismus
MONDO:0043008	label	obsolete genetic multiple congenital anomalies/dysmorphic syndrome without intellectual disability	genetic multiple congenital anomalies/dysmorphic syndrome without intellectual disability
MONDO:0021205	label	disorder of ear	disease of ear
MONDO:0056802	label	synovial bursa disorder	synovial bursa disease
MONDO:0002503	label	adult astrocytic tumor	adult astrocytic tumour
MONDO:0002515	label	hepatobiliary disorder	hepatobiliary disease
MONDO:0006906	label	obsolete pigmented villonodular synovitis	pigmented villonodular synovitis
MONDO:0002545	label	spinal cord disorder	spinal cord disease
MONDO:0005384	label	focal epilepsy	partial epilepsy
MONDO:0002636	label	accessory nerve disorder	accessory nerve disease
MONDO:0002643	label	vestibular disorder	vestibular disease
MONDO:0021167	label	myositis disease	myositis
MONDO:0018351	label	obsolete adenocarcinoma of penis	adenocarcinoma of penis
MONDO:0002866	label	duodenal disorder	duodenal disease
MONDO:0003381	label	pituitary gland disorder	pituitary gland disease
MONDO:0002727	label	olfactory nerve disorder	olfactory nerve disease
MONDO:0002733	label	obsolete MONDO:0002733	
MONDO:0016275	label	obsolete adenocarcinoma of cervix uteri	adenocarcinoma of cervix uteri
MONDO:0002773	label	obsolete MONDO:0002773	
MONDO:0002776	label	external ear disorder	external ear disease
MONDO:0002780	label	obsolete MONDO:0002780	
MONDO:0002884	label	nail disorder	nail disease
MONDO:0002886	label	common bile duct disorder	common bile duct disease
MONDO:0004868	label	biliary tract disorder	biliary tract disease
MONDO:0044999	label	obsolete scalp disorder	scalp disease
MONDO:0002970	label	ciliary body disorder	ciliary body disease
MONDO:0003127	label	obsolete embryoma	embryoma
MONDO:0003323	label	obsolete MONDO:0003323	
MONDO:0100070	label	neuroendocrine disorder	neuroendocrine disease
MONDO:0003393	label	thymus gland disorder	thymus gland disease
MONDO:0003452	label	cochlear disorder	cochlear disease
MONDO:0021191	label	obsolete malignant ependymoma	malignant ependymoma
MONDO:0003576	label	obsolete MONDO:0003576	
MONDO:0044996	label	cerebral cortex disorder	cerebral cortex disease
MONDO:0003597	label	obsolete MONDO:0003597	
MONDO:0003625	label	obsolete MONDO:0003625	
MONDO:0044991	label	upper digestive tract disorder	upper digestive tract disease
MONDO:0003803	label	aortic valve disorder	aortic valve disease
MONDO:0045001	label	cardiac ventricle disorder	cardiac ventricle disease
MONDO:0015136	label	obsolete immunodeficiency due to a genetic complement cascade protein anomaly	immunodeficiency due to a genetic complement cascade protein anomaly
MONDO:0045002	label	vertebral disorder	vertebral disease
MONDO:0003986	label	obsolete MONDO:0003986	
MONDO:0003996	label	basal ganglia disorder	basal ganglia disease
MONDO:0003998	label	obsolete vaginal tubular adenoma	vaginal tubular adenoma
MONDO:0004033	label	obsolete familial ovarian carcinoma	familial ovarian carcinoma
MONDO:0004036	label	obsolete MONDO:0004036	
MONDO:0004137	label	obsolete MONDO:0004137	
MONDO:0019296	label	subcutaneous tissue disorder	subcutaneous tissue disease
MONDO:0019833	label	obsolete pituitary hormone deficiency from tumoral origin	pituitary hormone deficiency from tumoral origin
MONDO:0004268	label	obsolete subareolar duct papillomatosis	subareolar duct papillomatosis
MONDO:0004347	label	obsolete MONDO:0004347	
MONDO:0043707	label	obsolete mediastinal disorder	mediastinal disease
MONDO:0020225	label	obsolete syndromic cataract	syndromic cataract
MONDO:0005917	label	placenta disorder	placenta disease
MONDO:0004595	label	obsolete acute pulmonary heart disease	acute pulmonary heart disease
MONDO:0020675	label	ischemic bowel disorder	ischemic bowel disease
MONDO:0006311	label	myelodysplastic/myeloproliferative neoplasm	myelodysplastic/myeloproliferative Neoplasm
MONDO:0018407	label	obsolete male infertility due to obstructive azoospermia of genetic origin	male infertility due to obstructive azoospermia of genetic origin
MONDO:0017390	label	obsolete methylmalonic acidemia without homocystinuria	methylmalonic acidemia without homocystinuria
MONDO:0004738	label	obsolete histidine metabolism disease	histidine metabolism disease
MONDO:0004771	label	obsolete Fuchs' heterochromic uveitis	Fuchs' heterochromic uveitis
MONDO:0015188	label	obsolete metabolic disorder with intestinal involvement	metabolic disease with intestinal involvement
MONDO:0005728	label	diaphragm disorder	diaphragm disease
MONDO:0004915	label	obsolete MONDO:0004915	
MONDO:0004916	label	obsolete MONDO:0004916	
MONDO:0006607	label	sebaceous gland disorder	sebaceous gland disease
MONDO:0043885	label	eye infectious disorder	eye infectious disease
MONDO:0004935	label	obsolete acquired carotenemia	acquired carotenemia
MONDO:0004955	label	obsolete metabolic syndrome	metabolic syndrome
MONDO:0004978	label	obsolete aortic stenosis	aortic stenosis
MONDO:0004983	label	spermatogenic failure	azoospermia
MONDO:0017143	label	obsolete genetic infertility	genetic infertility
MONDO:0044993	label	sympathetic nervous system disorder	sympathetic nervous system disease
MONDO:0005049	label	obsolete intracranial hemorrhage	intracranial hemorrhage
MONDO:0017841	label	obsolete autoimmune disease with skin involvement	autoimmune disease with skin involvement
MONDO:0100321	label	obsolete viral disease or post-viral disorder	viral disease or post-viral disorder
MONDO:0016104	label	obsolete infectious disease with peripheral neuropathy	infectious disease with peripheral neuropathy
MONDO:0020091	label	obsolete male infertility due to obstructive azoospermia	male infertility due to obstructive azoospermia
MONDO:0044347	label	erythrocyte disorder	erythrocyte disease
MONDO:0016123	label	obsolete muscular tumor	muscular tumor
MONDO:0005222	label	obsolete acute megakaryoblastic leukemia	obsolete acute megakaryoblastic leukaemia
MONDO:0005272	label	myelodysplastic syndrome with single lineage dysplasia	refractory anemia
MONDO:0019453	label	myelodysplastic syndrome with multilineage dysplasia	refractory cytopenia with multilineage dysplasia
MONDO:0005274	label	obsolete MONDO:0005274	
MONDO:0019157	label	myelodysplastic syndrome with ring sideroblasts	acquired idiopathic sideroblastic anemia
MONDO:0037847	label	vertebral joint disorder	vertebral joint disease
MONDO:0005307	label	obsolete contracture	contracture
MONDO:0005332	label	obsolete MONDO:0005332	
MONDO:0005363	label	inherited focal segmental glomerulosclerosis	focal segmental glomerulosclerosis
MONDO:0005410	label	obsolete acute graft vs. host disease	acute graft vs. host disease
MONDO:0005476	label	atrioventricular node disorder	atrioventricular node disease
MONDO:0005482	label	obsolete molar-incisor hypomineralization	molar-incisor hypomineralization
MONDO:0005493	label	carbon monoxide-induced delayed encephalopathy	delayed encephalopathy after acute carbon monoxide poisoning
MONDO:0005548	label	obsolete malignant rhabdoid tumor	obsolete malignant rhabdoid tumour
MONDO:0100336	label	obsolete infectious disease or post-infectious disorder	infectious disease or post-infectious disorder
MONDO:0016180	label	obsolete hematological disease associated with an acquired peripheral neuropathy	hematological disease associated with an acquired peripheral neuropathy
MONDO:0018787	label	obsolete genetic cerebral small vessel disease	genetic cerebral small vessel disease
MONDO:0020142	label	obsolete metabolic disease with dementia	metabolic disease with dementia
MONDO:0005681	label	obsolete MONDO:0005681	
MONDO:0015265	label	bronchiolitis obliterans syndrome	bronchiolitis obliterans with obstructive pulmonary disease
MONDO:0019843	label	obsolete pituitary hormone deficiency secondary to a granulomatous disease	pituitary hormone deficiency secondary to a granulomatous disease
MONDO:0015659	label	obsolete infectious disease with epilepsy	infectious disease with epilepsy
MONDO:0015215	label	obsolete non-syndromic diaphragmatic or abdominal wall malformation	non-syndromic diaphragmatic or abdominal wall malformation
MONDO:0015879	label	obsolete non-syndromic diaphragmatic or thoracic malformation	non-syndromic diaphragmatic or thoracic malformation
MONDO:0005721	label	coxsackievirus infectious disease	obsolete coxsackievirus infectious disease
MONDO:0005849	label	obsolete milk allergic reaction	milk allergic reaction
MONDO:0015928	label	obsolete secondary interstitial lung disease in childhood and adulthood associated with a connective tissue disease	secondary interstitial lung disease in childhood and adulthood associated with a connective tissue disease
MONDO:0016177	label	obsolete systemic inflammatory disease associated with an acquired peripheral neuropathy	systemic inflammatory disease associated with an acquired peripheral neuropathy
MONDO:0005860	label	obsolete MONDO:0005860	
MONDO:0005862	label	obsolete multiple chemical sensitivity	multiple chemical sensitivity
MONDO:0005899	label	parotid disorder	parotid disease
MONDO:0005902	label	obsolete peanut allergic reaction	peanut allergic reaction
MONDO:0005992	label	obsolete trichinosis	trichinosis
MONDO:0006023	label	obsolete MONDO:0006023	
MONDO:0015220	label	obsolete syndrome with a central nervous system malformation as major feature	syndrome with a central nervous system malformation as major feature
MONDO:0015335	label	obsolete Mendelian syndromes with cleft lip/palate	orofacial clefting syndrome
MONDO:0006051	label	obsolete postweaning multisystemic wasting syndrome	postweaning multisystemic wasting syndrome
MONDO:0025370	label	obsolete urogenital neoplasm	urogenital neoplasm
MONDO:0006089	label	obsolete appendix goblet cell carcinoid	appendix goblet cell carcinoid
MONDO:0016286	label	obsolete adenoid cystic carcinoma of the cervix uteri	adenoid cystic carcinoma of the cervix uteri
MONDO:0006147	label	obsolete chronic eosinophilic leukemia, not otherwise specified	chronic eosinophilic leukemia, not otherwise specified
MONDO:0041161	label	obsolete endometrial hyperplasia	endometrial hyperplasia
MONDO:0006185	label	obsolete ductal or ductular proliferation	ductal or ductular proliferation
MONDO:0016784	label	obsolete gestational trophoblastic disease	gestational trophoblastic disease
MONDO:0006251	label	obsolete inclusion body fibromatosis	inclusion body fibromatosis
MONDO:0006505	label	basal ganglia cerebrovascular disorder	basal ganglia cerebrovascular disease
MONDO:0006516	label	obsolete sarcopenia	sarcopenia
MONDO:0020087	label	hereditary lipodystrophy	genetic lipodystrophy
MONDO:0015331	label	obsolete malformation syndrome with skin/mucosae involvement	malformation syndrome with skin/mucosae involvement
MONDO:0006560	label	obsolete hypohidrosis	hypohidrosis
MONDO:0006584	label	obsolete neonatal jaundice	neonatal jaundice
